GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WIN,BUBBLE,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,TEAM_CITY,HOME_TEAM,STARTING_5,DURATION,PLAYTIME_PP_PG,MIN 01,MIN 02,MIN 03,MIN 04,MIN 05,MIN 06,MIN 07,MIN 08,MIN 09,MIN 10,MIN 11,MIN 12,MIN 13,MIN 14,MIN 15,MIN 16,MIN 17,MIN 18,MIN 19,MIN 20,MIN 21,MIN 22,MIN 23,MIN 24,MIN 25,MIN 26,MIN 27,MIN 28,MIN 29,MIN 30,MIN 31,MIN 32,MIN 33,MIN 34,MIN 35,MIN 36,MIN 37,MIN 38,MIN 39,MIN 40,MIN 41,MIN 42,MIN 43,MIN 44,MIN 45,MIN 46,MIN 47,MIN 48
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,2210,Richard,Jefferson,Cleveland,1,False,239.79999999999998,719.4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,2544,LeBron,James,Cleveland,1,True,612.65,2450.6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,2747,JR,Smith,Cleveland,1,True,531.15,2124.6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,201567,Kevin,Love,Cleveland,1,True,766.1999999999999,2298.6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,202389,Timofey,Mozgov,Cleveland,1,False,274.0,274.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,202681,Kyrie,Irving,Cleveland,1,True,563.0,2252.0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,202684,Tristan,Thompson,Cleveland,1,True,607.3333333333334,1822.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,202697,Iman,Shumpert,Cleveland,1,False,324.85,1299.4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41500101,1610612739,Cavaliers,42015,CLE vs. DET,1,0,203521,Matthew,Dellavedova,Cleveland,1,False,289.85,1159.4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
41500101,1610612765,Pistons,42015,DET @ CLE,0,0,2581,Steve,Blake,Detroit,0,False,286.3333333333333,859.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
