TEAM_ID,TEAM_NAME,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,SEASON
1610612738,Boston Celtics,1662.0,1055,570,485,203,11,156,354,61,61,122,0.5,0.5,36,305,341,0.106,0.894,2019-20
1610612751,Brooklyn Nets,384.0,266,143,123,45,2,19,41,15,9,24,0.625,0.375,2,46,48,0.042,0.958,2019-20
1610612742,Dallas Mavericks,586.0,366,226,140,56,3,69,155,16,19,35,0.457,0.543,9,79,88,0.102,0.898,2019-20
1610612743,Denver Nuggets,1834.0,1073,605,468,259,6,181,409,44,50,94,0.468,0.532,25,249,275,0.091,0.905,2019-20
1610612745,Houston Rockets,1162.0,608,339,269,159,17,65,162,32,39,71,0.451,0.549,14,232,246,0.057,0.943,2019-20
1610612754,Indiana Pacers,384.0,198,109,89,46,2,21,52,14,13,27,0.519,0.481,0,45,45,0.0,1.0,2019-20
1610612746,LA Clippers,1258.0,767,424,343,174,10,117,265,50,45,95,0.526,0.474,12,230,242,0.05,0.95,2019-20
1610612747,Los Angeles Lakers,2016.0,1114,653,461,305,7,107,242,42,72,114,0.368,0.632,61,200,261,0.234,0.766,2019-20
1610612748,Miami Heat,2036.0,1210,655,555,288,7,191,458,66,70,136,0.485,0.515,23,350,373,0.062,0.938,2019-20
1610612749,Milwaukee Bucks,970.0,659,364,295,132,6,44,106,41,28,69,0.594,0.406,8,141,149,0.054,0.946,2019-20
1610612760,Oklahoma City Thunder,682.0,442,191,251,79,6,31,69,25,24,49,0.51,0.49,18,50,68,0.265,0.735,2019-20
1610612753,Orlando Magic,480.0,247,119,128,55,7,59,139,11,16,27,0.407,0.593,2,59,61,0.033,0.967,2019-20
1610612755,Philadelphia 76ers,384.0,200,110,90,30,0,20,43,11,13,24,0.458,0.542,14,72,86,0.163,0.837,2019-20
1610612757,Portland Trail Blazers,480.0,281,164,117,68,1,37,90,14,16,30,0.467,0.533,13,64,77,0.169,0.831,2019-20
1610612761,Toronto Raptors,1076.0,674,342,332,126,10,76,181,42,46,88,0.477,0.523,14,164,178,0.079,0.921,2019-20
1610612762,Utah Jazz,682.0,423,234,189,73,5,85,206,23,20,43,0.535,0.465,6,165,171,0.035,0.965,2019-20
1610612738,Boston Celtics,864.0,514,282,232,103,8,65,149,21,44,65,0.323,0.677,30,212,242,0.124,0.876,2018-19
1610612751,Brooklyn Nets,480.0,322,231,91,61,1,67,156,19,22,41,0.463,0.537,3,157,160,0.019,0.981,2018-19
1610612743,Denver Nuggets,1384.0,846,594,252,173,6,135,302,49,49,98,0.5,0.5,37,251,289,0.128,0.869,2018-19
1610612765,Detroit Pistons,384.0,220,125,95,53,6,44,100,10,15,25,0.4,0.6,9,80,89,0.101,0.899,2018-19
1610612744,Golden State Warriors,2132.0,1401,787,614,299,20,178,454,74,93,167,0.443,0.557,49,431,480,0.102,0.898,2018-19
1610612745,Houston Rockets,1066.0,583,338,245,131,8,61,141,42,43,85,0.494,0.506,23,287,310,0.074,0.926,2018-19
1610612754,Indiana Pacers,384.0,184,108,76,43,1,26,62,16,12,28,0.571,0.429,9,53,62,0.145,0.855,2018-19
1610612746,LA Clippers,576.0,353,220,133,73,5,41,92,23,21,44,0.523,0.477,7,140,147,0.048,0.952,2018-19
1610612749,Milwaukee Bucks,1460.0,1052,655,397,168,11,68,155,60,78,138,0.435,0.565,34,275,309,0.11,0.89,2018-19
1610612760,Oklahoma City Thunder,480.0,360,245,115,59,8,41,86,25,23,48,0.521,0.479,7,129,136,0.051,0.949,2018-19
1610612753,Orlando Magic,480.0,260,165,95,65,2,33,74,15,12,27,0.556,0.444,20,80,100,0.2,0.8,2018-19
1610612755,Philadelphia 76ers,1152.0,650,407,243,138,4,102,235,38,34,72,0.528,0.472,28,239,267,0.105,0.895,2018-19
1610612757,Portland Trail Blazers,1586.0,972,647,325,220,10,144,352,52,71,123,0.423,0.577,48,429,477,0.101,0.899,2018-19
1610612759,San Antonio Spurs,672.0,469,323,146,55,3,65,139,27,20,47,0.574,0.426,9,148,157,0.057,0.943,2018-19
1610612761,Toronto Raptors,2324.0,1464,842,622,357,22,171,406,83,96,179,0.464,0.536,48,631,679,0.071,0.929,2018-19
