Team,Season,Draft & Draft Trade,Trade,Free Agency,Total Roster,Wins,Losses,Team Achievement,All-Star,MVP,1st Round,2nd+ Round,Undrafted,Avg. Age
Indiana Pacers,2019-2020,5,4,6,15,45,28,First Round,1,0,9,3,3,25.4
Denver Nuggets,2019-2020,5,5,5,15,46,27,Conference Finals,1,0,5,7,3,25.9
Miami Heat,2019-2020,3,6,6,15,44,29,NBA Finals (Loss),2,0,7,3,5,27.4
Brooklyn Nets,2019-2020,5,2,9,16,35,37,First Round,0,0,9,5,2,26.5
Milwaukee Bucks,2019-2020,4,3,8,15,56,17,Second Round,1,1,8,6,1,29.5
Los Angeles Lakers,2019-2020,2,1,12,15,52,19,NBA Champion,0,0,11,2,2,29.1
Boston Celtics,2019-2020,8,1,6,15,48,24,Conference Finals,1,0,9,2,4,25.1
Houston Rockets,2019-2020,0,4,11,15,44,28,Second Round,1,0,10,1,4,29.9
Utah Jazz,2019-2020,5,2,8,15,44,28,First Round,2,0,6,5,4,26.2
Los Angeles Clippers,2019-2020,2,7,6,15,49,23,Second Round,0,0,8,5,2,28.1
Orlando Magic,2019-2020,5,5,5,15,33,40,First Round,0,0,10,3,2,26.2
Portland Trail Blazers,2019-2020,6,6,2,14,35,39,First Round,1,0,10,3,1,25.9
Philadelphia Sixers,2019-2020,5,5,5,15,43,30,First Round,1,0,8,6,1,26.2
Oklahoma City Thunder,2019-2020,5,6,4,15,44,28,First Round,1,0,9,4,2,25.2
Toronto Raptors,2019-2020,4,3,8,15,53,19,Second Round,1,0,6,4,5,26.3
Dallas Mavericks,2019-2020,2,8,6,16,43,32,First Round,0,0,9,2,5,27.5
Los Angeles Clippers,2018-2019,3,9,1,14,48,34,First Round,0,0,5,6,3,26.5
Portland Trail Blazers,2018-2019,7,4,4,15,53,29,Conference Finals,1,0,12,2,1,25.2
Orlando Magic,2018-2019,5,7,3,15,42,40,First Round,1,0,11,2,2,25.3
Boston Celtics,2018-2019,7,2,6,15,49,33,Second Round,1,0,10,1,4,26.4
Indiana Pacers,2018-2019,4,4,7,15,48,34,First Round,1,0,10,4,1,26.4
San Antonio Spurs,2018-2019,5,2,8,15,48,34,First Round,1,0,10,4,1,27.3
Houston Rockets,2018-2019,2,3,10,15,53,29,Second Round,1,0,9,2,4,28
Oklahoma City Thunder,2018-2019,5,4,5,14,49,33,First Round,2,0,10,3,1,26.3
Denver Nuggets,2018-2019,8,3,4,15,54,28,Second Round,1,0,8,6,1,24.7
Utah Jazz,2018-2019,6,4,5,15,50,32,First Round,0,0,9,4,2,27.4
Toronto Raptors,2018-2019,3,5,7,15,58,24,NBA Champion,2,0,5,5,5,27.5
Golden State Warriors,2018-2019,7,1,7,15,57,25,NBA Finals (Loss),3,0,10,3,2,28.2
Brooklyn Nets,2018-2019,5,4,6,15,42,40,First Round,1,0,9,4,2,25.4
Detroit Pistons,2018-2019,4,4,7,15,41,41,First Round,1,0,6,6,3,27.2
Philadelphia Sixers,2018-2019,5,6,4,15,51,31,Second Round,2,0,8,4,3,27
Milwaukee Bucks,2018-2019,5,5,5,15,60,22,Conference Finals,2,1,9,5,1,27.7
Utah Jazz,2017-2018,6,3,6,15,48,34,Second Round,0,0,9,3,3,26.4
Golden State Warriors,2017-2018,7,1,7,15,58,24,NBA Champion,4,0,10,4,1,28.4
New Orleans Pelicans,2017-2018,3,3,9,15,48,34,Second Round,2,0,9,5,1,27.4
Milwaukee Bucks,2017-2018,7,5,3,15,44,38,First Round,1,0,11,3,1,26
Cleveland Cavaliers,2017-2018,2,8,5,15,50,32,NBA Finals (Loss),2,0,10,3,2,28.9
Portland Trail Blazers,2017-2018,7,3,5,15,49,33,First Round,1,0,13,2,0,24.6
Oklahoma City Thunder,2017-2018,8,4,3,15,48,34,First Round,2,0,11,4,0,27.7
Washington Wizards,2017-2018,5,4,6,15,43,39,First Round,2,0,9,5,1,27.9
Boston Celtics,2017-2018,7,2,7,16,55,27,Conference Finals,2,0,11,2,3,25.5
Indiana Pacers,2017-2018,4,4,7,15,48,34,First Round,1,0,9,5,1,25.7
Minnesota Timberwolves,2017-2018,5,2,8,15,47,35,First Round,2,0,12,1,2,27.3
Miami Heat,2017-2018,3,3,9,15,44,38,First Round,1,0,8,4,3,27.7
Philadelphia Sixers,2017-2018,7,1,7,15,52,30,Second Round,1,0,10,3,2,25.8
Houston Rockets,2017-2018,3,3,9,15,65,17,Conference Finals,1,1,8,5,2,29.5
San Antonio Spurs,2017-2018,7,0,8,15,47,35,First Round,1,0,8,5,2,28.9
Toronto Raptors,2017-2018,8,3,4,15,59,23,Second Round,2,0,10,3,2,25.5
Boston Celtics,2016-2017,8,4,3,15,53,29,Conference Finals,1,0,9,6,0,25.6
Indiana Pacers,2016-2017,5,3,7,15,42,40,First Round,1,0,7,8,0,27
Cleveland Cavaliers,2016-2017,3,5,7,15,51,31,NBA Finals (Loss),3,0,11,4,0,29.9
Utah Jazz,2016-2017,8,4,3,15,51,31,Second Round,1,0,10,4,1,26.5
Los Angeles Clippers,2016-2017,4,3,8,15,51,31,First Round,1,0,10,4,1,29.9
San Antonio Spurs,2016-2017,6,0,9,15,61,21,Conference Finals,1,0,7,4,4,29.1
Toronto Raptors,2016-2017,8,4,3,15,51,31,Second Round,2,0,12,2,1,25.6
Atlanta Hawks,2016-2017,4,4,6,15,43,39,First Round,1,0,8,4,3,28.4
Memphis Grizzlies,2016-2017,6,2,7,15,43,39,First Round,1,0,7,5,3,27.5
Golden State Warriors,2016-2017,6,1,8,15,67,15,NBA Champion,4,0,9,4,2,28.1
Chicago Bulls,2016-2017,5,6,4,15,41,41,First Round,1,0,10,3,2,26.1
Milwaukee Bucks,2016-2017,6,5,4,15,42,40,First Round,1,0,10,2,3,25.8
Oklahoma City Thunder,2016-2017,8,6,1,15,47,35,First Round,1,1,11,4,0,25.9
Houston Rockets,2016-2017,4,3,8,15,55,27,Second Round,1,0,6,5,4,26.4
Portland Trail Blazers,2016-2017,6,4,5,15,41,41,First Round,0,0,11,3,1,24.7
Washington Wizards,2016-2017,5,5,5,15,49,33,Second Round,1,0,10,3,2,25.8
Los Angeles Clippers,2015-2016,4,4,7,15,53,29,First Round,1,0,10,4,1,29.4
Detroit Pistons,2015-2016,5,6,4,15,44,38,First Round,1,0,7,5,3,26
Atlanta Hawks,2015-2016,7,5,3,15,48,34,Second Round,2,0,8,6,1,28.1
Portland Trail Blazers,2015-2016,5,5,5,15,44,38,Second Round,0,0,10,2,3,24.9
Charlotte Hornets,2015-2016,4,5,6,15,48,34,First Round,0,0,11,0,4,26
Dallas Mavericks,2015-2016,2,3,10,15,42,40,First Round,0,0,8,4,3,29.8
Cleveland Cavaliers,2015-2016,3,5,7,15,57,25,NBA Champion,1,0,9,4,2,29.5
Houston Rockets,2015-2016,5,6,4,15,41,41,First Round,1,0,10,5,0,26.8
San Antonio Spurs,2015-2016,5,1,9,15,67,15,Second Round,2,0,9,4,2,31.6
Toronto Raptors,2015-2016,7,2,6,15,56,26,Conference Finals,2,0,13,2,0,26
Miami Heat,2015-2016,3,2,10,15,48,34,Second Round,2,0,8,4,3,28.7
Golden State Warriors,2015-2016,6,2,7,15,73,9,NBA Finals (Loss),3,1,11,2,2,27.5
Memphis Grizzlies,2015-2016,4,5,7,16,42,40,First Round,0,0,9,3,4,28.7
Oklahoma City Thunder,2015-2016,9,4,2,15,55,27,Conference Finals,2,0,13,1,1,27
Indiana Pacers,2015-2016,5,3,7,15,45,37,First Round,1,0,8,6,1,26.2
Boston Celtics,2015-2016,8,4,3,15,48,34,First Round,1,0,9,5,1,24.6
Houston Rockets,2014-2015,5,6,4,15,56,26,Conference Finals,1,0,8,6,1,27.2
Toronto Raptors,2014-2015,5,6,4,15,49,33,First Round,1,0,10,3,2,26.3
Boston Celtics,2014-2015,5,7,3,15,40,42,First Round,0,0,8,4,3,25
Golden State Warriors,2014-2015,6,3,6,15,67,15,NBA Champion,2,1,11,2,2,27
Memphis Grizzlies,2014-2015,5,6,3,15,55,27,Second Round,1,0,9,5,1,27.7
Cleveland Cavaliers,2014-2015,4,5,6,15,53,29,NBA Finals (Loss),2,0,10,3,2,28.9
San Antonio Spurs,2014-2015,7,1,7,15,55,27,First Round,1,0,8,5,2,29.2
Portland Trail Blazers,2014-2015,7,3,5,15,51,31,First Round,2,0,10,2,3,27.1
New Orleans Pelicans,2014-2015,2,7,5,14,45,37,First Round,1,0,11,3,0,25.9
Los Angeles Clippers,2014-2015,3,3,9,15,56,26,Second Round,2,0,11,4,0,28.9
Washington Wizards,2014-2015,4,5,6,15,46,36,Second Round,1,0,9,4,2,28.8
Atlanta Hawks,2014-2015,6,2,7,15,60,22,Conference Finals,4,0,8,5,2,27.7
Brooklyn Nets,2014-2015,5,5,5,15,38,44,First Round,0,0,8,5,2,27
Milwaukee Bucks,2014-2015,6,5,4,15,41,41,First Round,0,0,9,5,1,24.2
Chicago Bulls,2014-2015,8,0,6,14,50,32,Second Round,2,0,12,2,0,28.5
Dallas Mavericks,2014-2015,1,5,9,15,50,32,First Round,1,0,9,4,2,29.5
